RankId,Rank Name,RequirementId,Requirement Name,Requirement Short,Requirement Number,Required
1,Scout,2007,"Repeat from memory the Scout Oath, Scout Law, Scout motto, and Scout slogan. In your own words, explain their meaning.",Scout Oath & Law,1a,True
1,Scout,2009,"Explain what Scout spirits is. Describe someways you have shown Scout spirit by practicing the Scout Oath, Scout Law, Scout motto, and Scout slogan.",Scout Spirit,1b,True
1,Scout,2010,"Demonstrate the Scout sign, salute, and handshake. Explain when they should be used.",Salute & Sign,1c,True
1,Scout,2011,Describe the First Class Scout badge and tell what each part stands for. Explain the significance of the First Class Scout badge.,First Class Badge,1d,True
1,Scout,2012,Repeat from memory the Outdoor Code. List the Leave No Trace Seven Principles. Explain the difference between the two.,Outdoor Code,1e,True
1,Scout,2013,"Repeat from memory the Pledge of Allegiance. In your own words, explain its meaning.",Pledge of Allegiance,1f,True
1,Scout,2014,"After attending at least one Scout troop meeting, do the following:",Attend meeting; Complete 2a-2d,,False
1,Scout,2015,Describe how the Scouts in the troop provide its leadership.,Describe Youth Leadership,2a,True
1,Scout,2016,Describe the four steps of Scout advancement.,Describe Advancement,2b,True
1,Scout,2017,Describe the Scouts BSA ranks and how they are earned.,Describe Ranks,2c,True
1,Scout,2018,Describe what merit badges are and how they are earned.,Describe Merit Badges,2d,True
1,Scout,2019,Explain the patrol method. Describe the types of patrols that are used in your troop.,Patrol Method,3a,True
1,Scout,2020,"Become familiar with your patrol name, emblem, flag, and yell. Explain how these items create patrol spirit.",Patrol Spirit,3b,True
1,Scout,2021,"Show how to tie a square knot, two half-hitches, and a taut-line hitch. Explain how each knot is used.",Knots (3),4a,True
1,Scout,2022,Show the proper care of a rope by learning how to whip and fuse the ends of different kinds of rope.,Whip and fuse rope,4b,True
1,Scout,2023,Tell what you need to know about using a pocketknife safely and responsibly.,Knife safety,5,True
1,Scout,2008,"With your parent or guardian, complete the exercises in the pamphlet <i>How to Protect Your Children From Child Abuse: A Parent's Guide</a> and view the Personal Safety Awareness videos (with your parent or guardian's permission)",Personal protection,6,True
1,Scout,2006,"Since joining the troop and while working on Scout rank, participate in a Scoutmaster conference.",Scoutmaster conference,7,True
2,Tenderfoot,1985,"While working toward the Tenderfoot rank, and after completing Scout rank requirement 7, participate in a Scoutmaster conference.\n\n",Scoutmaster conference,10,True
2,Tenderfoot,1986,Successfully complete your board of review for the Tenderfoot rank.,Board of review,11,True
2,Tenderfoot,1980,"Present yourself to your leader, prepared for an overnight camping trip. Show the personal and camping gear you will use. Show the right way to pack and carry it.",Prepare to camp,1a,True
2,Tenderfoot,1987,Spend at least one night on a patrol or troop campout. Sleep in a tent you have helped pitch.,Sleep in tent,1b,True
2,Tenderfoot,1994,Explain how you demonstrated the Outdoor Code and Leave No Trace on\n\ncampouts or outings.,Outdoor Code,1c,True
2,Tenderfoot,1988,"On the campout, assist in preparing one of the meals. Tell why it is important for each patrol member to share in meal preparation and cleanup.",Help cook a meal,2a,True
2,Tenderfoot,1989,"While on a campout, demonstrate an appropriate method of safely cleaning items used to prepare, serve, and eat a meal.",Show cooking safety,2b,True
2,Tenderfoot,1995,Explain the importance of eating together as a patrol.,Explain patrol eating,2c,True
2,Tenderfoot,1991,Demonstrate a practical use of the square knot.,Square knot,3a,True
2,Tenderfoot,1990,Demonstrate a practical use of two half-hitches.,Two half-hitches,3b,True
